sep=;
Location Coordinate;Feature Extent;Name of the School;Suburb;Postcode;Latitude Coordinate;Longitude Coordinate;Projection;Council Ward;Location ID;Google Maps Direction;Primary School Website;Secondary School Website;School Address;Telephone Number/s;Administration  Hours;Primary School Email Address;Secondary School Email Address;Type of School;Easting Coordinate;Northing Coordinate
-37.9706569057, 145.278135877;"{""coordinates"": [145.278135877, -37.9706569057], ""type"": ""Point""}";Maranatha Christian School;ENDEAVOUR HILLS;3802;-37.97065690569937;145.27813587703258;MGA2020 zone 55;FOUR OAKS;2;https://www.google.com.au/maps/dir//-37.97065690569937,145.27813587703258/@your+location,17z/data=!4m2!4m1!3e0;www.maranatha.vic.edu.au;www.maranatha.vic.edu.au;104-108 Reema Boulevard Endeavour Hills 3802;03 9709 7209 (Secondary)     03 9709 7200 (Primary);Monday - Friday: 8:15AM - 4:30PM;reception@maranatha.vic.edu.au;reception@maranatha.vic.edu.au;Primary & Secondary;348759;5796042
-38.0359769098, 145.3481358717;"{""coordinates"": [145.3481358717, -38.0359769098], ""type"": ""Point""}";St Margaret's School;BERWICK;3806;-38.03597690979317;145.34813587168597;MGA2020 zone 55;EDRINGTON;6;https://www.google.com.au/maps/dir//-38.03597690979317,145.34813587168597/@your+location,17z/data=!4m2!4m1!3e0;www.stmargarets.vic.edu.au;www.stmargarets.vic.edu.au;27-47 Gloucester Ave Berwick 3806;03 9703 8111;Monday - Friday: 8:30AM - 4:30PM;info@stmargarets.vic.edu.au;info@stmargarets.vic.edu.au;Primary & Secondary;355036;5788905
-38.1092369083, 145.293855885;"{""coordinates"": [145.293855885, -38.1092369083], ""type"": ""Point""}";Casey Grammar School;CRANBOURNE EAST;3977;-38.10923690833345;145.29385588501808;MGA2020 zone 55;MAYFIELD;10;https://www.google.com.au/maps/dir//-38.10923690833345,145.29385588501808/@your+location,17z/data=!4m2!4m1!3e0;www.caseygrammer.vic.edu.au;www.caseygrammer.vic.edu.au;3 New Holland Drive Cranbourne East 3977;03 5991 0800;Monday, Tuesday: 8AM - 4:30PM Wednesday - Friday: 8:30AM - 4:30PM;office@caseygrammar.vic.edu.au;office@caseygrammar.vic.edu.au;Primary & Secondary;350422;5780690
-38.1101673187, 145.2966433239;"{""coordinates"": [145.2966433239, -38.1101673187], ""type"": ""Point""}";Marnabeck Special School;CRANBOURNE EAST;3977;-38.11016731873012;145.29664332389683;MGA2020 zone 55;MAYFIELD;64;https://www.google.com.au/maps/dir//-38.11016731873012,145.29664332389683/@your+location,17z/data=!4m2!4m1!3e0;http://www.marnebek.vic.edu.au/;;9 New Holland Drive Cranbourne VIC 3977;5996 3858;Mon - Fri: 8:30AM - 4PM;marnebek.sch.cranbourne@edumail.vic.gov.au;marnebek.sch.cranbourne@edumail.vic.gov.au;Primary & Secondary;350668;5780591
-38.0854307664, 145.3731716589;"{""coordinates"": [145.3731716589, -38.0854307664], ""type"": ""Point""}";Rivercrest Christian College;CLYDE NORTH;3978;-38.08543076643986;145.3731716588514;MGA2020 zone 55;EDRINGTON;65;https://www.google.com.au/maps/dir//-38.08543076643986,145.3731716588514/@your+location,17z/data=!4m2!4m1!3e0;https://rivercrest.vic.edu.au/;;81 Ferdinand Drive Clyde North VIC 3978;9703 9777;Monday - Friday: 8AM - 3:30PM;admin@rivercrest.vic.edu.au;admin@rivercrest.vic.edu.au;Primary & Secondary;357330;5783456
-38.0011769021, 145.2616258903;"{""coordinates"": [145.2616258903, -38.0011769021], ""type"": ""Point""}";Hallam Secondary School;HALLAM;3803;-38.0011769021082;145.26162589029536;MGA2020 zone 55;RIVER GUM;2;https://www.google.com.au/maps/dir//-38.0011769021082,145.26162589029536/@your+location,17z/data=!4m2!4m1!3e0;;www.hallamsc.vic.edu.au;74-84 Frawley Road Hallam 3803;03 9703 1266;Monday - Friday: 8AM - 4:30PM;;hallam.senior.sc@edumail.vic.gov.au;Secondary;347372;5792628
-38.074296903, 145.3087458621;"{""coordinates"": [145.3087458621, -38.074296903], ""type"": ""Point""}";Alkira Secondary College;CRANBOURNE NORTH;3977;-38.07429690302955;145.30874586210373;MGA2020 zone 55;SPRINGFIELD;10;https://www.google.com.au/maps/dir//-38.07429690302955,145.30874586210373/@your+location,17z/data=!4m2!4m1!3e0;;www.alkirasecondarycollege.com.au;15 Nurture Avenue Cranbourne North 3977;03 5991 3500;Tuesday - Thursday: 8AM - 4PM     Monday, Friday: 8AM - 3:30PM;;alkira.sc@edumail.vic.gov.au;Secondary;351657;5784591
-37.9899468993, 145.2440458952;"{""coordinates"": [145.2440458952, -37.9899468993], ""type"": ""Point""}";Doveton College;DOVETON;3177;-37.98994689927523;145.2440458951577;MGA2020 zone 55;RIVER GUM;1;https://www.google.com.au/maps/dir//-37.98994689927523,145.2440458951577/@your+location,17z/data=!4m2!4m1!3e0;www.dovetoncollege.vic.edu.au;www.dovetoncollege.vic.edu.au;62 Tristania Street Doveton 3177;03 8765 0111;Monday - Thursday: 7:30AM - 4:30PM    Friday: 8:30AM - 1:30PM;doveton.co@edumail.vic.gov.au;doveton.co@edumail.vic.gov.au;Primary & Secondary;345804;5793845
-38.0495369038, 145.287305872;"{""coordinates"": [145.287305872, -38.0495369038], ""type"": ""Point""}";Narre Warren South P-12 College;NARRE WARREN SOUTH;3805;-38.049536903754586;145.28730587201326;MGA2020 zone 55;SPRINGFIELD;3;https://www.google.com.au/maps/dir//-38.049536903754586,145.28730587201326/@your+location,17z/data=!4m2!4m1!3e0;www.nwsc.vic.edu.au;www.nwsc.vic.edu.au;Amberly Park Drive Narre Warren South 3805;03 9704 3333;Monday - Friday: 8:15AM - 4:35PM;narre.warren.south.p12@edumail.vic.gov.au;narre.warren.south.p12@edumail.vic.gov.au;Primary & Secondary;349725;5787304
-38.0463769098, 145.3637958608;"{""coordinates"": [145.3637958608, -38.0463769098], ""type"": ""Point""}";Haileybury College;BERWICK;3806;-38.046376909814974;145.36379586083152;MGA2020 zone 55;EDRINGTON;8;https://www.google.com.au/maps/dir//-38.046376909814974,145.36379586083152/@your+location,17z/data=!4m2!4m1!3e0;http://www.haileybury.com.au/berwick;www.haileybury.vic.edu.au;138 High Street Berwick 3806;03 9707 3711 (Secondary)     03 9904 6006 (Primary);Monday - Thursday: 8AM - 5PM            Friday: 8AM - 4:30PM;reception@haileybury.vic.edu.au;reception.edrigton@haileybury.vic.edu.au;Primary & Secondary;356431;5787775
